Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
371      -4.152751e-01  -4.153919e-01  1.168664e-04   2.81e-04  
372      -5.640678e-01  -5.658733e-01  1.805456e-03   3.20e-03  
373      -7.526229e-01  -7.523552e-01  2.677662e-04   3.56e-04  
374      -9.793961e-01  -9.780872e-01  1.308913e-03   1.34e-03  
375      -1.234371e+00  -1.235612e+00  1.240607e-03   1.01e-03  
376      -1.496548e+00  -1.495705e+00  8.427925e-04   5.63e-04  
377      -1.733125e+00  -1.734664e+00  1.538182e-03   8.88e-04  
378      -1.901323e+00  -1.900671e+00  6.520064e-04   3.43e-04  
379      -1.953218e+00  -1.955209e+00  1.990196e-03   1.02e-03  
380      -1.843277e+00  -1.848641e+00  5.364239e-03   2.91e-03  
381      -1.537888e+00  -1.540074e+00  2.186281e-03   1.42e-03  
382      -1.026224e+00  -1.025364e+00  8.606231e-04   8.39e-04  
383      -3.314929e-01  -3.306186e-01  8.742962e-04   2.64e-03  
384      4.802877e-01   4.806654e-01   3.777358e-04   7.86e-04  
385      1.300074e+00   1.299374e+00   6.998726e-04   5.38e-04  
386      1.991093e+00   1.989932e+00   1.161185e-03   5.83e-04  
387      2.420729e+00   2.422575e+00   1.845604e-03   7.62e-04  
388      2.499723e+00   2.500499e+00   7.753379e-04   3.10e-04  
