Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
328      2.589978e+00   2.591518e+00   1.539390e-03   5.94e-04  
329      1.485216e+00   1.488004e+00   2.787201e-03   1.88e-03  
330      3.467782e-02   3.527725e-02   5.994324e-04   1.73e-02  
331      -1.744495e+00  -1.743740e+00  7.546084e-04   4.33e-04  
332      -3.824969e+00  -3.824843e+00  1.260565e-04   3.30e-05  
333      -6.173732e+00  -6.172289e+00  1.442902e-03   2.34e-04  
334      -8.752497e+00  -8.753823e+00  1.325451e-03   1.51e-04  
335      -1.151183e+01  -1.151485e+01  3.023366e-03   2.63e-04  
336      -1.438021e+01  -1.438138e+01  1.169890e-03   8.14e-05  
337      -1.725382e+01  -1.725004e+01  3.784083e-03   2.19e-04  
338      -1.999493e+01  -1.999375e+01  1.175711e-03   5.88e-05  
339      -2.244420e+01  -2.244176e+01  2.440957e-03   1.09e-04  
340      -2.444539e+01  -2.444505e+01  3.418067e-04   1.40e-05  
341      -2.587530e+01  -2.587598e+01  6.760296e-04   2.61e-05  
342      -2.667095e+01  -2.667038e+01  5.700378e-04   2.14e-05  
343      -2.684995e+01  -2.684747e+01  2.486350e-03   9.26e-05  
344      -2.652776e+01  -2.652896e+01  1.193941e-03   4.50e-05  
345      -2.593971e+01  -2.593537e+01  4.337136e-03   1.67e-04  
346      -2.547424e+01  -2.546920e+01  5.042927e-03   1.98e-04  
347      -2.571777e+01  -2.672269e+01  1.004914e+00   3.91e-02  
348      -2.750637e+01  -3.249533e+01  4.988966e+00   1.81e-01  
349      -2.865078e+01  -2.977729e+01  1.126504e+00   3.93e-02  
350      -3.028593e+01  -2.512418e+01  5.161753e+00   1.70e-01  
351      -1.217507e-01  -9.050314e-02  3.124760e-02   2.57e-01  
352      -1.518018e-01  -1.429219e-01  8.879925e-03   5.85e-02  
353      -1.858907e-01  -2.021636e-01  1.627290e-02   8.75e-02  
354      -2.392129e-01  -2.445154e-01  5.302483e-03   2.22e-02  
355      -2.864532e-01  -2.865600e-01  1.067256e-04   3.73e-04  
356      -3.189139e-01  -3.188022e-01  1.117177e-04   3.50e-04  
357      -3.312898e-01  -3.327655e-01  1.475648e-03   4.45e-03  
358      -3.213664e-01  -3.190055e-01  2.360874e-03   7.35e-03  
359      -2.893945e-01  -2.905008e-01  1.106272e-03   3.82e-03  
360      -2.371881e-01  -2.370434e-01  1.446470e-04   6.10e-04  
361      -1.670130e-01  -1.646340e-01  2.378993e-03   1.42e-02  
362      -8.040052e-02  -8.293637e-02  2.535848e-03   3.15e-02  
363      2.291535e-02   2.170714e-02   1.208214e-03   5.27e-02  
364      1.457197e-01   1.433968e-01   2.322881e-03   1.59e-02  
365      2.935372e-01   2.939455e-01   4.082583e-04   1.39e-03  
366      4.742863e-01   4.743888e-01   1.025102e-04   2.16e-04  
367      6.973855e-01   6.926784e-01   4.707109e-03   6.75e-03  
368      9.723744e-01   9.737732e-01   1.398812e-03   1.44e-03  
369      1.307134e+00   1.309295e+00   2.160832e-03   1.65e-03  
370      1.705837e+00   1.706901e+00   1.064348e-03   6.24e-04  
371      2.166808e+00   2.164220e+00   2.587637e-03   1.19e-03  
372      2.680511e+00   2.678264e+00   2.247004e-03   8.38e-04  
373      3.227860e+00   3.230139e+00   2.278585e-03   7.06e-04  
374      3.779010e+00   3.779399e+00   3.894060e-04   1.03e-04  
